index,Bodyarea,Exercise Name,Set,AverageWeight,Reps,Distance,Seconds,Notes,Workout Notes
0001,"Chest","Incline Bench Press (Barbell)",1,135,8,0,0,"",""
0002,"Chest","Incline Bench Press (Barbell)",2,135,8,0,0,"",""
0003,"Chest","Incline Bench Press (Barbell)",3,135,5,0,0,"",""
0004,"Chest","Incline Bench Press (Barbell)",4,185,7,0,0,"",""
0005,"Chest","Incline Bench Press (Barbell)",5,230,8,0,0,"",""
0006,"Chest","Incline Bench Press (Barbell)",6,230,8,0,0,"",""
0007,"Chest","Incline Bench Press (Barbell)",7,230,8,0,0,"",""
0008,"Chest","Weighted dips",1,220,8,0,0,"",""
0009,"Chest","Weighted dips",2,315,8,0,0,"",""
0010,"Chest","Weighted dips",3,315,8,0,0,"",""
0011,"Chest","Weighted dips",4,315,8,0,0,"",""
0012,"Chest","Incline Bench Press",1,135,8,0,0,"",""
0013,"Chest","Incline Bench Press",2,135,8,0,0,"",""
0014,"Chest","Incline Bench Press",3,135,5,0,0,"",""
0015,"Chest","Incline Bench Press",4,185,7,0,0,"",""
0016,"Chest","Incline Bench Press",5,230,8,0,0,"",""
0017,"Chest","Incline Bench Press",6,230,8,0,0,"",""
0018,"Chest","Incline Bench Press",7,230,8,0,0,"",""
0019,"Chest","Weighted dips",1,220,8,0,0,"",""
0020,"Chest","Weighted dips",2,315,8,0,0,"",""
0021,"Chest","Weighted dips",3,315,8,0,0,"",""
0022,"Chest","Weighted dips",4,315,8,0,0,"",""
0023,"Lower","Squat (Barbell)",1,135,8,0,0,"",""
0024,"Lower","Squat (Barbell)",2,185,5,0,0,"",""
0025,"Lower","Squat (Barbell)",3,225,7,0,0,"",""
0026,"Lower","Squat (Barbell)",4,275,5,0,0,"",""
0027,"Lower","Squat (Barbell)",5,315,5,0,0,"",""
0028,"Lower","Squat (Barbell)",6,315,6,0,0,"",""
0029,"Lower","Squat (Barbell)",7,315,8,0,0,"",""
0030,"Lower","Leg press (hinge )",1,430,10,0,0,"",""
0031,"Lower","Leg press (hinge )",2,430,10,0,0,"",""
0032,"Lower","Leg press (hinge )",3,430,10,0,0,"",""
0033,"Lower","Good Morning (Barbell)",1,115,8,0,0,"",""
0034,"Lower","Good Morning (Barbell)",2,115,8,0,0,"",""
0035,"Lower","Squat",1,135,8,0,0,"",""
0036,"Lower","Squat",2,185,5,0,0,"",""
0037,"Lower","Squat",3,225,7,0,0,"",""
0038,"Lower","Squat",4,275,5,0,0,"",""
0039,"Lower","Squat",5,315,5,0,0,"",""
0040,"Lower","Squat",6,315,6,0,0,"",""
0041,"Lower","Squat",7,315,8,0,0,"",""
0042,"Lower","Leg press",1,430,10,0,0,"",""
0043,"Lower","Leg press",2,430,10,0,0,"",""
0044,"Lower","Leg press",3,430,10,0,0,"",""
0045,"Lower","Good Morning",1,115,8,0,0,"",""
0046,"Lower","Good Morning",2,115,8,0,0,"",""
0047,"Back","Chin Up",1,47.5,8,0,0,"",""
0048,"Back","Chin Up",2,47.5,8,0,0,"",""
0049,"Back","Chin Up",3,47.5,8,0,0,"",""
0050,"Back","Chin Up",4,0,10,0,0,"",""
0051,"Back","Lat Pulldown ",1,150,10,0,0,"",""
0052,"Back","Lat Pulldown ",2,150,10,0,0,"",""
0053,"Back","Seated Cable Row (close Grip)",1,130,8,0,0,"",""
0054,"Back","Seated Cable Row (close Grip)",2,130,8,0,0,"",""
0055,"Back","Seated Cable Row (close Grip)",3,130,8,0,0,"",""
0056,"Back","Seated Cable Row (close Grip)",4,130,8,0,0,"",""
0057,"Back","Rear delt fly",1,120,12,0,0,"",""
0058,"Back","Rear delt fly",2,120,10,0,0,"",""
0059,"Back","Rear delt fly",3,120,12,0,0,"",""
0060,"Back","Chin Up",1,47.5,8,0,0,"",""
0061,"Back","Chin Up",2,47.5,8,0,0,"",""
0062,"Back","Chin Up",3,47.5,8,0,0,"",""
0063,"Back","Chin Up",4,0,10,0,0,"",""
0064,"Back","Lat Pulldown",1,150,10,0,0,"",""
0065,"Back","Lat Pulldown",2,150,10,0,0,"",""
0066,"Back","Seated Row",1,130,8,0,0,"",""
0067,"Back","Seated Row",2,130,8,0,0,"",""
0068,"Back","Seated Row",3,130,8,0,0,"",""
0069,"Back","Seated Row",4,130,8,0,0,"",""
0070,"Back","Rear delt fly",1,120,12,0,0,"",""
0071,"Back","Rear delt fly",2,120,10,0,0,"",""
0072,"Back","Rear delt fly",3,120,12,0,0,"",""
0073,"Chest","Incline Bench Press",1,135,5,0,0,"",""
0074,"Chest","Incline Bench Press",2,135,5,0,0,"",""
0075,"Chest","Incline Bench Press",3,185,6,0,0,"",""
0076,"Chest","Incline Bench Press",4,185,7,0,0,"",""
0077,"Chest","Incline Bench Press",5,230,8,0,0,"",""
0078,"Chest","Incline Bench Press",6,230,8,0,0,"",""
0079,"Chest","Incline Bench Press",7,230,8,0,0,"",""
0080,"Chest","Incline Bench Press",8,235,6,0,0,"",""
0081,"Chest","Weighted dips",1,220,8,0,0,"",""
0082,"Chest","Weighted dips",2,220,8,0,0,"",""
0083,"Chest","Weighted dips",3,220,8,0,0,"",""
0084,"Chest","Incline Bench Press (Barbell)",1,135,5,0,0,"",""
0085,"Chest","Incline Bench Press (Barbell)",2,135,5,0,0,"",""
0086,"Chest","Incline Bench Press (Barbell)",3,185,6,0,0,"",""
0087,"Chest","Incline Bench Press (Barbell)",4,185,7,0,0,"",""
0088,"Chest","Incline Bench Press (Barbell)",5,230,8,0,0,"",""
0089,"Chest","Incline Bench Press (Barbell)",6,230,8,0,0,"",""
0090,"Chest","Incline Bench Press (Barbell)",7,230,8,0,0,"",""
0091,"Chest","Incline Bench Press (Barbell)",8,235,6,0,0,"",""
0092,"Chest","Weighted dips",1,220,8,0,0,"",""
0093,"Chest","Weighted dips",2,220,8,0,0,"",""
0094,"Chest","Weighted dips",3,220,8,0,0,"",""
0095,"Back","Chin Up",1,50,8,0,0,"",""
0096,"Back","Chin Up",2,50,8,0,0,"",""
0097,"Back","Chin Up",3,50,8,0,0,"",""
0098,"Back","Chin Up",4,0,12,0,0,"",""
0099,"Back","Seated Row",1,160,9,0,0,"",""
0100,"Back","Seated Row",2,175,10,0,0,"",""
0101,"Back","Seated Row",3,175,10,0,0,"",""
0102,"Back","Seated Row",4,175,9,0,0,"",""
0103,"Back","Rear delt fly",1,100,10,0,0,"",""
0104,"Back","Rear delt fly",2,115,10,0,0,"",""
0105,"Back","Rear delt fly",3,115,10,0,0,"",""
0106,"Back","Rear delt fly",4,115,10,0,0,"",""
0107,"Back","Hammer Curl",1,70,10,0,0,"",""
0108,"Back","Hammer Curl",2,80,8,0,0,"",""
0109,"Back","Chin Up",1,50,8,0,0,"",""
0110,"Back","Chin Up",2,50,8,0,0,"",""
0111,"Back","Chin Up",3,50,8,0,0,"",""
0112,"Back","Chin Up",4,0,12,0,0,"",""
0113,"Back","Seated Cable Row (close Grip)",1,160,9,0,0,"",""
0114,"Back","Seated Cable Row (close Grip)",2,175,10,0,0,"",""
0115,"Back","Seated Cable Row (close Grip)",3,175,10,0,0,"",""
0116,"Back","Seated Cable Row (close Grip)",4,175,9,0,0,"",""
0117,"Back","Rear delt fly",1,100,10,0,0,"",""
0118,"Back","Rear delt fly",2,115,10,0,0,"",""
0119,"Back","Rear delt fly",3,115,10,0,0,"",""
0120,"Back","Rear delt fly",4,115,10,0,0,"",""
0121,"Back","Hammer Curl (Dumbbell )",1,70,10,0,0,"",""
0122,"Back","Hammer Curl (Dumbbell )",2,80,8,0,0,"",""
0123,"Lower","Squat",1,135,8,0,0,"",""
0124,"Lower","Squat",2,185,8,0,0,"",""
0125,"Lower","Squat",3,225,8,0,0,"",""
0126,"Lower","Squat",4,225,8,0,0,"",""
0127,"Lower","Squat",5,245,8,0,0,"",""
0128,"Lower","Squat",6,245,8,0,0,"",""
0129,"Lower","Squat",7,275,8,0,0,"",""
0130,"Lower","Squat",8,295,8,0,0,"",""
0131,"Lower","Squat",9,295,7,0,0,"",""
0132,"Lower","Glute extension. ",1,175,10,0,0,"",""
0133,"Lower","Glute extension. ",2,175,10,0,0,"",""
0134,"Lower","Squat (Barbell)",1,135,8,0,0,"",""
0135,"Lower","Squat (Barbell)",2,185,8,0,0,"",""
0136,"Lower","Squat (Barbell)",3,225,8,0,0,"",""
0137,"Lower","Squat (Barbell)",4,225,8,0,0,"",""
0138,"Lower","Squat (Barbell)",5,245,8,0,0,"",""
0139,"Lower","Squat (Barbell)",6,245,8,0,0,"",""
0140,"Lower","Squat (Barbell)",7,275,8,0,0,"",""
0141,"Lower","Squat (Barbell)",8,295,8,0,0,"",""
0142,"Lower","Squat (Barbell)",9,295,7,0,0,"",""
0143,"Lower","Glute extension. ",1,175,10,0,0,"",""
0144,"Lower","Glute extension. ",2,175,10,0,0,"",""
0145,"Chest","Incline Bench Press",1,135,8,0,0,"",""
0146,"Chest","Incline Bench Press",2,185,5,0,0,"",""
0147,"Chest","Incline Bench Press",3,230,8,0,0,"",""
0148,"Chest","Incline Bench Press",4,230,8,0,0,"",""
0149,"Chest","Incline Bench Press",5,230,8,0,0,"",""
0150,"Chest","Incline Bench Press",6,240,7,0,0,"",""
0151,"Chest","Seated Military Press",1,135,10,0,0,"",""
0152,"Chest","Seated Military Press",2,155,8,0,0,"",""
0153,"Chest","Seated Military Press",3,155,8,0,0,"",""
0154,"Chest","Seated Military Press",4,165,8,0,0,"",""
0155,"Chest","Weighted dips",1,0,12,0,0,"",""
0156,"Chest","Weighted dips",2,0,10,0,0,"",""
0157,"Chest","Incline Bench Press (Barbell)",1,135,8,0,0,"",""
0158,"Chest","Incline Bench Press (Barbell)",2,185,5,0,0,"",""
0159,"Chest","Incline Bench Press (Barbell)",3,230,8,0,0,"",""
0160,"Chest","Incline Bench Press (Barbell)",4,230,8,0,0,"",""
0161,"Chest","Incline Bench Press (Barbell)",5,230,8,0,0,"",""
0162,"Chest","Incline Bench Press (Barbell)",6,240,7,0,0,"",""
0163,"Chest","Seated Shoulder  Press (Barbell)",1,135,10,0,0,"",""
0164,"Chest","Seated Shoulder  Press (Barbell)",2,155,8,0,0,"",""
0165,"Chest","Seated Shoulder  Press (Barbell)",3,155,8,0,0,"",""
0166,"Chest","Seated Shoulder  Press (Barbell)",4,165,8,0,0,"",""
0167,"Chest","Weighted dips",1,0,12,0,0,"",""
0168,"Chest","Weighted dips",2,0,10,0,0,"",""
0169,"Back","Chin Up",1,50,8,0,0,"",""
0170,"Back","Chin Up",2,50,9,0,0,"",""
0171,"Back","Chin Up",3,50,8,0,0,"",""
0172,"Back","Seated Row",1,145,11,0,0,"",""
0173,"Back","Seated Row",2,160,9,0,0,"",""
0174,"Back","Seated Row",3,160,8,0,0,"",""
0175,"Back","Lat Pulldown",1,150,12,0,0,"",""
0176,"Back","Lat Pulldown",2,155,12,0,0,"",""
0177,"Back","Lat Pulldown",3,155,12,0,0,"",""
0178,"Back","Rear delt fly",1,115,15,0,0,"",""
0179,"Back","Rear delt fly",2,115,15,0,0,"",""
0180,"Back","Rear delt fly",3,115,12,0,0,"",""
0181,"Back","Rear delt fly",4,115,10,0,0,"",""
0182,"Back","Chin Up",1,50,8,0,0,"",""
0183,"Back","Chin Up",2,50,9,0,0,"",""
0184,"Back","Chin Up",3,50,8,0,0,"",""
0185,"Back","Seated Cable Row (close Grip)",1,145,11,0,0,"",""
0186,"Back","Seated Cable Row (close Grip)",2,160,9,0,0,"",""
0187,"Back","Seated Cable Row (close Grip)",3,160,8,0,0,"",""
0188,"Back","Lat Pulldown ",1,150,12,0,0,"",""
0189,"Back","Lat Pulldown ",2,155,12,0,0,"",""
0190,"Back","Lat Pulldown ",3,155,12,0,0,"",""
0191,"Back","Rear delt fly",1,115,15,0,0,"",""
0192,"Back","Rear delt fly",2,115,15,0,0,"",""
0193,"Back","Rear delt fly",3,115,12,0,0,"",""
0194,"Back","Rear delt fly",4,115,10,0,0,"",""
0195,"Chest","Incline Bench Press",1,135,8,0,0,"",""
0196,"Chest","Incline Bench Press",2,185,7,0,0,"",""
0197,"Chest","Incline Bench Press",3,230,8,0,0,"",""
0198,"Chest","Incline Bench Press",4,230,8,0,0,"",""
0199,"Chest","Incline Bench Press",5,235,8,0,0,"",""
0200,"Chest","Seated Military Press",1,165,10,0,0,"",""
0201,"Chest","Seated Military Press",2,165,10,0,0,"",""
0202,"Chest","Seated Military Press",3,165,10,0,0,"",""
0203,"Chest","Weighted dips",1,0,10,0,0,"",""
0204,"Chest","Weighted dips",2,0,14,0,0,"",""
0205,"Chest","Incline Bench Press (Barbell)",1,135,8,0,0,"",""
0206,"Chest","Incline Bench Press (Barbell)",2,185,7,0,0,"",""
0207,"Chest","Incline Bench Press (Barbell)",3,230,8,0,0,"",""
0208,"Chest","Incline Bench Press (Barbell)",4,230,8,0,0,"",""
0209,"Chest","Incline Bench Press (Barbell)",5,235,8,0,0,"",""
0210,"Chest","Seated Shoulder  Press (Barbell)",1,165,10,0,0,"",""
0211,"Chest","Seated Shoulder  Press (Barbell)",2,165,10,0,0,"",""
0212,"Chest","Seated Shoulder  Press (Barbell)",3,165,10,0,0,"",""
0213,"Chest","Weighted dips",1,0,10,0,0,"",""
0214,"Chest","Weighted dips",2,0,14,0,0,"",""
0215,"Lower","Squat (Barbell)",1,185,8,0,0,"",""
0216,"Lower","Squat (Barbell)",2,225,8,0,0,"",""
0217,"Lower","Squat (Barbell)",3,275,8,0,0,"",""
0218,"Lower","Squat (Barbell)",4,275,8,0,0,"",""
0219,"Lower","Squat (Barbell)",5,285,8,0,0,"",""
0220,"Lower","Squat (Barbell)",6,295,8,0,0,"",""
0221,"Lower","Glute extension. ",1,130,10,0,0,"",""
0222,"Lower","Glute extension. ",2,130,10,0,0,"",""
0223,"Lower","Leg press (hinge )",1,360,10,0,0,"",""
0224,"Lower","Leg press (hinge )",2,360,10,0,0,"",""
0225,"Lower","Leg press (hinge )",3,360,10,0,0,"",""
0226,"Lower","Leg outward fly",1,100,15,0,0,"",""
0227,"Lower","Leg outward fly",2,100,15,0,0,"",""
0228,"Lower","Leg outward fly",3,100,15,0,0,"",""
0229,"Lower","Squat",1,185,8,0,0,"",""
0230,"Lower","Squat",2,225,8,0,0,"",""
0231,"Lower","Squat",3,275,8,0,0,"",""
0232,"Lower","Squat",4,275,8,0,0,"",""
0233,"Lower","Squat",5,285,8,0,0,"",""
